Freq (Hz)	Coh_Microphone/Source
397.000000000000060E+0	372.423082234749010E-3
398.000000000000060E+0	451.179771275088180E-3
399.000000000000060E+0	395.432296863653830E-3
400.000000000000060E+0	265.715627789778420E-3
401.000000000000060E+0	305.425004900869210E-3
402.000000000000060E+0	209.173622143083300E-3
403.000000000000060E+0	71.078728450775799E-3
404.000000000000060E+0	315.051460522732030E-3
405.000000000000060E+0	191.227704284651000E-3
406.000000000000060E+0	501.922347044934550E-3
407.000000000000060E+0	603.607279868263120E-3
408.000000000000060E+0	216.846962970207390E-3
409.000000000000060E+0	331.011035920880270E-3
410.000000000000060E+0	234.107170555882680E-3
411.000000000000060E+0	105.789879521181550E-3
412.000000000000060E+0	319.016360612730980E-3
413.000000000000060E+0	132.823472579617770E-3
414.000000000000060E+0	160.245430507935580E-3
415.000000000000060E+0	473.475459146259330E-3
416.000000000000060E+0	199.802388672488030E-3
417.000000000000060E+0	190.249884740415040E-3
418.000000000000060E+0	493.037491181313070E-3
419.000000000000060E+0	79.025084445267069E-3
420.000000000000060E+0	207.488060178708330E-3
421.000000000000060E+0	162.646407343880560E-3
422.000000000000060E+0	188.515423429036570E-3
423.000000000000060E+0	221.069245995235310E-3
424.000000000000060E+0	343.578208189887100E-3
425.000000000000060E+0	351.279635925127180E-3
426.000000000000060E+0	484.199569988771950E-3
427.000000000000060E+0	708.921350438189160E-3
428.000000000000060E+0	398.409530833183760E-3
429.000000000000060E+0	675.937401605440140E-3
430.000000000000060E+0	896.618465914323590E-3
431.000000000000060E+0	741.921503849193970E-3
432.000000000000060E+0	710.936675592196200E-3
433.000000000000060E+0	845.778850752349600E-3
434.000000000000060E+0	678.365833477100550E-3
435.000000000000060E+0	344.760842575169260E-3
436.000000000000060E+0	824.470279638011670E-3
437.000000000000060E+0	470.517485048283170E-3
438.000000000000060E+0	872.413241212260270E-3
439.000000000000060E+0	566.613422692316510E-3
440.000000000000060E+0	726.792104023754270E-3
441.000000000000060E+0	846.544028110753690E-3
442.000000000000060E+0	454.454978249918930E-3
443.000000000000060E+0	432.121568652987060E-3
444.000000000000060E+0	608.096248584303560E-3
445.000000000000060E+0	237.648546249110610E-3
446.000000000000060E+0	385.202041236365920E-3
447.000000000000060E+0	602.049089382715730E-3
448.000000000000060E+0	186.178825604288110E-3
449.000000000000060E+0	723.969191814163530E-3
450.000000000000060E+0	777.819468775350690E-3
451.000000000000060E+0	597.935402619170220E-3
452.000000000000060E+0	815.771740142672060E-3
453.000000000000060E+0	235.788983738304790E-3
454.000000000000060E+0	179.555005131465580E-3
455.000000000000060E+0	810.749097925579810E-3
456.000000000000060E+0	630.128067015220510E-3
457.000000000000060E+0	724.846403550670980E-3
458.000000000000060E+0	473.775225699638200E-3
459.000000000000060E+0	620.856700997208240E-3
460.000000000000060E+0	841.588423434644680E-3
461.000000000000060E+0	376.653749714016830E-3
462.000000000000060E+0	87.298990545312982E-3
463.000000000000060E+0	449.235156315460520E-3
464.000000000000060E+0	480.845395745143840E-3
465.000000000000060E+0	454.617926062606760E-3
466.000000000000060E+0	50.185668126148358E-3
467.000000000000060E+0	118.844919644531920E-3
468.000000000000060E+0	92.861112237333870E-3
469.000000000000060E+0	308.364159157306420E-3
470.000000000000060E+0	186.331871269495210E-3
471.000000000000060E+0	229.580295433660510E-3
472.000000000000060E+0	489.234441394889140E-3
473.000000000000060E+0	506.119630746168610E-3
474.000000000000060E+0	609.984110682841420E-3
475.000000000000060E+0	535.711549128188190E-3
476.000000000000060E+0	622.534555602217040E-3
477.000000000000060E+0	307.646175648871420E-3
478.000000000000060E+0	617.582742760287570E-3
479.000000000000060E+0	825.705263018935990E-3
480.000000000000060E+0	651.984518490445360E-3
481.000000000000060E+0	49.612476298368124E-3
482.000000000000060E+0	578.954087352012040E-3
483.000000000000060E+0	587.345589047765240E-3
